0	0	0	5392	208	4	0
01	0	0	2696	104	4	0
011	0	0	1348	52	4	0
0111	0	0	674	26	0	0
0112	674	0	674	26	0	0
0113	0	26	674	26	0	0
0114	674	26	674	26	4	0
01141	674	26	337	13	0	0
01142	1011	26	337	13	0	0
01143	674	39	337	13	4	0
011431	674	39	168	6	0	0
011432	842	39	168	6	0	0
011433	674	45	168	6	0	0
011434	842	45	168	6	0	1	60
01144	1011	39	337	13	4	0
011441	1011	39	168	6	0	0
011442	1179	39	168	6	0	0
011443	1011	45	168	6	0	0
011444	1179	45	168	6	0	2	62	63
012	1348	0	1348	52	4	0
0121	1348	0	674	26	0	0
0122	2022	0	674	26	0	0
0123	1348	26	674	26	4	0
01231	1348	26	337	13	4	0
012311	1348	26	168	6	0	0
012312	1516	26	168	6	0	0
012313	1348	32	168	6	0	1	66
012314	1516	32	168	6	0	1	66
01232	1685	26	337	13	0	0
01233	1348	39	337	13	4	0
012331	1348	39	168	6	0	1	66
012332	1516	39	168	6	0	1	66
012333	1348	45	168	6	0	1	66
012334	1516	45	168	6	0	1	66
01234	1685	39	337	13	0	0
0124	2022	26	674	26	4	0
01241	2022	26	337	13	0	0
01242	2359	26	337	13	0	0
01243	2022	39	337	13	0	0
01244	2359	39	337	13	4	0
012441	2359	39	168	6	0	0
012442	2527	39	168	6	0	0
012443	2359	45	168	6	0	1	90
012444	2527	45	168	6	0	0
013	0	52	1348	52	4	0
0131	0	52	674	26	4	0
01311	0	52	337	13	0	0
01312	337	52	337	13	4	0
013121	337	52	168	6	0	0
013122	505	52	168	6	0	0
013123	337	58	168	6	0	0
013124	505	58	168	6	0	0
01313	0	65	337	13	0	0
01314	337	65	337	13	4	0
013141	337	65	168	6	0	0
013142	505	65	168	6	0	1	72
013143	337	71	168	6	0	0
013144	505	71	168	6	0	1	72
0132	674	52	674	26	4	0
01321	674	52	337	13	4	0
013211	674	52	168	6	0	0
013212	842	52	168	6	0	1	60
013213	674	58	168	6	0	0
013214	842	58	168	6	0	1	60
01322	1011	52	337	13	4	0
013221	1011	52	168	6	0	0
013222	1179	52	168	6	0	2	62	63
013223	1011	58	168	6	0	0
013224	1179	58	168	6	0	3	62	63	64
01323	674	65	337	13	4	0
013231	674	65	168	6	0	1	73
013232	842	65	168	6	0	1	74
013233	674	71	168	6	0	1	73
013234	842	71	168	6	0	1	74
01324	1011	65	337	13	4	0
013241	1011	65	168	6	0	1	74
013242	1179	65	168	6	0	2	64	82
013243	1011	71	168	6	0	1	74
013244	1179	71	168	6	0	2	64	82
0133	0	78	674	26	4	0
01331	0	78	337	13	0	0
01332	337	78	337	13	4	0
013321	337	78	168	6	0	0
013322	505	78	168	6	0	1	72
013323	337	84	168	6	0	0
013324	505	84	168	6	0	0
01333	0	91	337	13	0	0
01334	337	91	337	13	4	0
013341	337	91	168	6	0	0
013342	505	91	168	6	0	1	58
013343	337	97	168	6	0	0
013344	505	97	168	6	0	1	58
0134	674	78	674	26	4	0
01341	674	78	337	13	4	0
013411	674	78	168	6	0	1	73
013412	842	78	168	6	0	2	74	80
013413	674	84	168	6	0	0
013414	842	84	168	6	0	1	80
01342	1011	78	337	13	4	0
013421	1011	78	168	6	0	1	74
013422	1179	78	168	6	0	2	64	82
013423	1011	84	168	6	0	0
013424	1179	84	168	6	0	2	64	82
01343	674	91	337	13	4	0
013431	674	91	168	6	0	3	6	59	83
013432	842	91	168	6	0	2	6	80
013433	674	97	168	6	0	3	6	59	83
013434	842	97	168	6	0	1	6
01344	1011	91	337	13	4	0
013441	1011	91	168	6	0	0
013442	1179	91	168	6	0	4	9	10	64	82
013443	1011	97	168	6	0	0
013444	1179	97	168	6	0	2	9	10
014	1348	52	1348	52	4	0
0141	1348	52	674	26	4	0
01411	1348	52	337	13	4	0
014111	1348	52	168	6	0	1	66
014112	1516	52	168	6	0	1	66
014113	1348	58	168	6	0	1	66
014114	1516	58	168	6	0	1	66
01412	1685	52	337	13	4	0
014121	1685	52	168	6	0	0
014122	1853	52	168	6	0	0
014123	1685	58	168	6	0	0
014124	1853	58	168	6	0	0
01413	1348	65	337	13	4	0
014131	1348	65	168	6	0	2	13	65
014132	1516	65	168	6	0	2	13	76
014133	1348	71	168	6	0	2	13	65
014134	1516	71	168	6	0	2	13	76
01414	1685	65	337	13	4	0
014141	1685	65	168	6	0	2	76	77
014142	1853	65	168	6	0	0
014143	1685	71	168	6	0	2	76	77
014144	1853	71	168	6	0	0
0142	2022	52	674	26	4	0
01421	2022	52	337	13	0	0
01422	2359	52	337	13	4	0
014221	2359	52	168	6	0	1	90
014222	2527	52	168	6	0	0
014223	2359	58	168	6	0	1	90
014224	2527	58	168	6	0	0
01423	2022	65	337	13	0	0
01424	2359	65	337	13	4	0
014241	2359	65	168	6	0	0
014242	2527	65	168	6	0	2	20	91
014243	2359	71	168	6	0	0
014244	2527	71	168	6	0	2	20	91
0143	1348	78	674	26	4	0
01431	1348	78	337	13	4	0
014311	1348	78	168	6	0	2	13	65
014312	1516	78	168	6	0	3	13	75	76
014313	1348	84	168	6	0	1	65
014314	1516	84	168	6	0	1	75
01432	1685	78	337	13	4	0
014321	1685	78	168	6	0	2	76	77
014322	1853	78	168	6	0	0
014323	1685	84	168	6	0	0
014324	1853	84	168	6	0	0
01433	1348	91	337	13	4	0
014331	1348	91	168	6	0	3	10	12	65
014332	1516	91	168	6	0	1	75
014333	1348	97	168	6	0	2	10	12
014334	1516	97	168	6	0	0
01434	1685	91	337	13	4	0
014341	1685	91	168	6	0	1	70
014342	1853	91	168	6	0	0
014343	1685	97	168	6	0	1	70
014344	1853	97	168	6	0	0
0144	2022	78	674	26	4	0
01441	2022	78	337	13	4	0
014411	2022	78	168	6	0	0
014412	2190	78	168	6	0	0
