127
-1	0	15	163	530	10
-1	0	576	161	33	15
-1	0	641	162	32	14
-1	0	705	160	32	16
-1	0	768	160	33	16
-1	0	800	128	32	16
-1	0	832	96	128	16
-1	0	1024	160	64	16
-1	0	1120	160	289	16
-1	0	1215	96	34	16
-1	0	1280	96	96	15
-1	0	1408	129	34	15
-1	0	1440	96	32	16
-1	0	1472	64	64	16
-1	0	1600	160	16	16
-1	0	1664	161	17	15
-1	0	1728	160	16	16
-1	0	1792	160	516	17
-1	0	2304	128	164	16
-1	0	2464	96	163	16
-1	0	2624	64	161	16
-1	0	2848	160	33	16
-1	0	2912	128	33	16
-1	0	2977	96	31	16
-1	0	3008	160	144	16
-1	0	3104	104	32	7
-1	0	3136	64	97	16
-1	0	3199	161	98	15
-1	0	3265	64	95	16
-1	0	3328	128	65	16
-1	0	3424	160	65	16
-1	0	3361	97	292	15
-1	0	3521	129	63	15
-1	0	3616	161	129	14
-1	0	3648	64	161	16
-1	0	3871	160	34	16
-1	0	3905	104	33	8
-1	0	3936	65	65	15
-1	0	4033	129	32	15
-1	0	4097	129	103	16
-1	0	4193	96	96	16
-1	0	4289	161	98	16
-1	0	4384	129	65	16
-1	0	4450	160	96	18
-1	0	4545	128	95	16
-1	0	4641	160	65	18
-1	0	4704	128	68	17
-1	0	4769	96	160	15
-1	0	4993	160	115	17
-1	0	5120	176	259	15
1	1	433	127	14	30
1	1	320	127	16	32
1	1	271	126	17	33
1	1	224	126	16	33
2	1	160	138	32	20
3	1	255	112	17	16
3	1	415	112	17	16
3	1	576	112	16	16
3	1	640	96	16	16
3	1	768	96	16	16
3	1	864	48	17	16
3	1	1151	113	17	16
3	1	1184	48	16	16
3	1	1328	48	16	16
1	1	1296	66	16	31
1	1	1451	67	14	30
1	1	1504	35	15	30
3	1	1664	112	16	17
1	1	1931	116	18	39
1	1	1839	116	17	40
3	1	1808	96	16	17
-2	1	2032	95	15	63
4	1	560	64	17	17
4	1	721	65	15	17
4	1	1008	64	16	18
4	1	1551	81	14	16
4	1	1681	65	13	14
4	1	1778	64	16	17
5	1	625	128	15	15
2	1	1216	143	31	14
2	1	912	82	30	15
7	1	1360	124	15	31
6	1	1225	68	14	30
6	1	817	101	13	30
15	1	5327	113	18	55
-3	1	5086	124	17	36
1	1	2283	117	0	0
1	1	2445	91	16	38
1	1	2335	91	16	39
8	1	2384	80	16	17
8	1	2497	48	16	17
9	1	2593	64	17	32
9	1	2703	38	17	26
8	1	2736	33	18	15
1	1	2928	95	14	31
4	1	2959	34	16	16
8	1	3025	48	14	16
6	1	3120	128	15	30
6	1	3200	33	15	31
8	1	3216	113	16	15
1	1	3277	124	14	33
1	1	3216	124	16	35
8	1	3408	48	17	17
8	1	3569	48	17	16
4	1	3487	32	18	18
9	1	3552	103	17	24
9	1	3616	64	15	31
9	1	3665	34	15	29
8	1	3710	111	16	16
8	1	3872	110	16	18
1	1	3969	30	14	31
8	1	4111	78	16	18
9	1	4159	97	17	29
8	1	4223	48	16	16
9	1	4335	127	18	30
9	1	4496	128	17	29
8	1	4401	84	17	18
8	1	4551	80	17	17
4	1	4464	32	16	16
4	1	4625	30	16	17
9	1	4745	94	15	33
8	1	4687	78	17	18
2	1	4802	76	34	18
4	1	5039	48	18	17
8	1	4896	49	14	17
8	1	5040	114	17	14
1	1	5016	122	14	35
