54
-1	0	-5	164	548	12
-1	0	575	163	33	15
-1	0	641	162	32	15
-1	0	706	161	31	17
-1	0	770	162	30	15
-1	0	799	128	33	15
-1	0	833	96	127	16
-1	0	1024	160	65	16
-1	0	1121	160	287	16
-1	0	1216	97	34	14
-1	0	1280	96	96	16
-1	0	1408	129	34	15
-1	0	1439	96	36	17
-1	0	1471	64	64	17
-1	0	1601	161	16	16
-1	0	1664	160	17	16
-1	0	1729	160	13	16
-1	0	1791	160	257	15
1	1	224	128	0	0
1	1	224	131	16	31
1	1	449	131	15	30
1	1	322	131	16	32
1	1	273	133	16	29
2	1	177	145	15	14
3	1	319	113	16	15
3	1	448	112	16	17
3	1	577	113	15	16
3	1	658	113	14	17
3	1	769	97	14	15
4	1	640	128	17	15
5	1	545	64	15	16
5	1	704	64	15	17
6	1	805	99	17	30
2	1	913	79	19	17
3	1	881	50	15	15
5	1	1041	97	17	14
3	1	1137	114	16	15
3	1	1185	49	14	16
6	1	1219	63	15	34
1	1	1296	68	16	29
2	1	1280	141	22	17
7	1	1358	130	14	30
1	1	1446	67	14	29
1	1	1490	36	14	30
3	1	1667	113	15	18
5	1	1569	80	17	17
5	1	1745	48	15	18
5	1	1921	48	17	17
3	1	1841	114	15	15
1	1	1891	126	16	36
1	1	1968	126	17	34
-2	1	2032	116	16	46
-5	0	544	193	585	23
-5	0	1410	192	390	18
