13	160
16	16
18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	2	2	3	2	2	2	3	4	3	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	4	3	4	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	5	6	7	8	9	5	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	0	0	0	0	0	0	
29	1	2	30	31	32	2	33	34	30	34	2	2	2	2	2	2	35	36	37	2	2	2	2	2	2	2	2	2	35	36	37	2	2	2	2	2	35	36	37	2	2	2	2	2	30	34	30	34	2	2	35	36	37	2	2	2	35	36	37	2	30	31	32	3	32	2	33	31	32	2	2	2	2	2	35	36	37	2	2	2	2	2	35	36	37	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	35	37	2	2	2	35	36	37	2	2	2	2	35	37	2	2	2	2	2	35	36	37	0	38	39	40	41	42	38	43	44	45	46	47	48	49	50	0	51	52	53	54	55	56	57	58	59	60	0	0	0	0	0	0	
29	61	2	62	63	64	65	66	65	66	65	2	2	2	2	2	2	67	67	68	67	2	69	70	67	68	69	70	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	62	65	66	65	2	2	2	2	2	2	2	2	2	2	2	2	62	63	64	63	64	65	66	63	64	65	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	71	72	72	72	2	2	2	2	2	67	67	68	69	70	67	2	2	67	67	2	67	68	69	70	2	2	2	2	2	2	2	2	2	2	2	2	0	38	73	40	74	42	75	76	77	78	79	80	81	82	83	0	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	
100	101	2	66	102	103	104	66	104	66	104	2	35	37	2	2	69	105	106	106	106	107	105	108	106	106	105	108	70	2	2	2	2	2	35	37	2	2	2	2	2	2	2	2	2	66	104	66	104	2	2	2	2	2	2	2	2	2	2	2	2	66	102	103	102	103	104	66	102	103	104	2	35	37	2	2	2	2	2	2	2	2	2	2	2	2	35	37	2	2	2	2	109	110	110	111	2	35	36	37	69	105	106	106	105	108	106	70	69	105	106	107	106	106	105	108	70	2	2	35	36	37	2	2	2	2	2	2	0	112	113	114	115	116	117	118	119	120	121	122	123	124	125	0	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	
142	101	2	66	143	102	144	66	144	66	144	2	2	2	2	145	146	147	146	147	146	147	147	148	146	147	147	148	146	149	2	2	2	2	2	67	67	68	69	70	2	68	2	2	2	66	144	66	144	2	2	2	71	72	72	72	72	72	72	72	2	66	143	102	143	102	144	66	143	102	144	2	2	2	2	2	71	72	2	2	71	72	72	72	72	72	2	2	2	2	71	72	109	110	110	111	2	2	2	145	146	147	146	147	147	148	146	147	147	148	146	147	146	147	147	148	146	149	2	2	2	67	67	68	2	68	69	70	0	0	150	151	152	153	0	0	0	154	0	155	156	0	0	0	157	158	159	160	161	162	163	164	165	166	141	167	168	169	170	0	
142	171	172	173	174	175	176	175	176	175	177	178	172	173	173	179	180	179	180	179	180	179	174	180	180	179	174	180	180	179	177	173	177	178	145	147	146	146	147	147	181	146	149	2	172	173	176	175	177	178	2	2	109	110	110	110	110	110	110	111	172	173	174	175	174	175	176	175	174	175	177	178	172	173	177	178	109	111	2	2	109	110	110	110	110	111	2	2	2	2	109	111	109	110	110	111	172	173	173	179	180	179	180	179	174	180	180	179	174	180	180	179	180	179	174	180	180	179	177	178	145	147	146	146	181	146	147	147	0	0	182	183	184	185	0	0	0	186	187	188	189	0	0	0	126	190	190	191	192	193	194	195	196	197	198	199	200	201	202	0	
203	204	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	71	72	109	110	110	110	110	110	110	111	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	206	207	205	205	109	110	110	110	110	111	205	205	71	72	206	207	109	110	110	111	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	205	0	0	208	209	210	211	0	0	0	212	213	214	215	216	0	0	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	0	
232	204	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	109	111	109	110	110	110	110	110	110	111	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	109	111	233	233	109	110	110	110	110	111	233	233	109	111	109	111	109	110	110	111	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	233	0	0	0	234	235	236	237	238	0	239	240	241	242	243	0	0	126	244	245	246	247	248	249	250	251	252	253	254	255	244	0	0	
